Education,Education FOS
Computer Systems Institute,small business administrator
Concordia University,Finance
"Concordia University, John Molson School of Business",International business
Concordia University-Portland,"Educational Leadership and Administration, General"
Conservatoire National des Arts et Métiers,"Acoustique, Management et leadership, Ingénierie des systèmes électriques, Management de la Chaîne Logistique, Gestion logistique, des matériaux et de la chaîne d'approvisionnement, Économie, Administration du Personnel, Normes françaises et internationales IAS/IFRS, Comptabilité, Responsable Opérationnel des Flux, Comptabilité Offshore Normes françaises et internationales (IAS/IFRS), IFRS, Normes comptables IAS/IFRS, Responsable Unité Opérationnelle Logistique"
Conservatoire National des Arts et Métiers - ICH,Conseil en Immobilier & Evaluation des biens immobiliers
Conservatoire National des Arts et Métiers / CNAM,"Ingénierie et Intégration Informatique, Informatique"
Conservatorio Profesional de Música de Ceuta,"Piano, Chamber music, Harmony, Piano for hands, analyses, history (3°, 4° y 5° Grado de Profesional)"
Conservatorio Profesional de Música de Granada,"Piano, Interpretation, Music theory ( 2°Grado de Enseñanza Profesional )"
Copenhagen Business School,"marketing, Supply Chain"
Cordoba,"Géologie / sciences de la Terre, général"
Cornell University,Marketing
Coventry University,"Applied linguistics and English language teaching, Advertising and marketing, Course Quality Enhancement and Monitoring Program"
DELL,"l'informatique génerale, Informatique"
DIORH - IRH,Gestion Administrative des Ressources Humaines / Développement RH
DIPLÔME UNIVERSITAIRE DE TECHNOLOGIE EN OPÉRATEUR DE SERVICE CLIENTÈLE,Commerce : Spécialité marketing
DNV GL,Food Science
DUT SGM MdM,Commerce international
DUT tanger,economie
Dale Carnegie Training,"Booster mes resultas, Picture of success, les outils de coaching au service du Manager, Manager mon équipe, Management sous pression, Leadership - Lead My Team to Success, Les defits de la vente directe"
Dante Alighieri,Italian Language and Literature
Dar Al hekma,pédagogie et l'enseignement
Davidson College,History
Decision makers int’l Corp.For Human Developement,Psychologie
Defense Language Institute,Teaching English as a Second or Foreign Language/ESL Language Instructor
Delft University of Technology,Computer Science
Dell,Informatique
Deutsche Zentrum,Langue et littérature allemandes
Digital marketing experts,Marketing digital
Direction générale des impôts,Contrôle sur pieces - Examen et contrôle de la liasse fiscale
Direction régionale des impôts Rabat,Gestion du régime de l’Auto-entrepreneur
Doğu Akdeniz Üniversitesi,Business Administration
Drucker Consulting,Operations Manage
Duke University,"Non-Profit/Public/Organizational Management, Community Organization and Advocacy"
E.M.C. conseil en management,Agent commercial
E.N.C.G Settat,Spécialité : Marketing et Développement Commercial
E.N.S.E.T Mohammedia,Assistanat en Gestion des Ressources Humaines
E.m.i.n,Gestion des Entreprises
EAE Business Schol,International Business
EAE Business School,Marketing & Sales
EBRD - European Bank For Reconstruction  and Dévelopment,Trade solutions - International Management
EBS Universität für Wirtschaft und Recht,International Business
ECAM Lyon,Lean Management
ECOLE DECLARANT EN DOUANE ( EDD),TRANSIT ET DOUANE
ECOLE HASSANIA DES TRAVAUX PUBLIC,INGENIERIE ET MANAGEMENT DES SYSTEMES LOGISTIQUES
ECOLE NATIONALE DE COMMERCE ET DE GESTION TANGER,Marketing et commerce international
ECOLE SOFI,Comptabilité et finance
ECOLE SUPERIEUR DE TECHNOLOGIE  MEKNES,TECHNIQUE COMPTABLE
ECOLE SUPERIEUR DE TECHNOLOGIE CASA,comptabilité contrôle audit
ECOLE SUPERIEUR DE TECHNOLOGIE FES,"Technologie / technicien du génie électrique, de l''électronique et des communications"
ECOLE SUPERIEURE DE TECHNOLOGIE,management
ECOLE SUPÉRIEUR DE TECHNOLOGIE,TECHNIQUES COMPTABLES
